path	max_production_lines	max_function_lines	owner	reason	follow_up
crates/laminar-db/src/pipeline_callback/mod.rs	6662	314	pipeline-runtime	Checkpoint publication, follower alignment, sink fencing, and callback hot paths remain coupled.	Extract durable-tail, follower-control, and callback-dispatch owners; file may not grow.
crates/laminar-core/src/cluster/control/leader_lease.rs	6513	288	cluster-control	Lease acquisition, renewal, process authority, and durable fencing share one protocol owner.	Split leader and process lease protocols after characterization; file may not grow.
crates/laminar-db/src/operator/interval_join/mod.rs	6012	689	operators	Interval-join planning, state mutation, and output hot loops remain co-located.	Extract cold validation and recovery without adding per-row cost; file may not grow.
crates/laminar-db/src/operator/temporal_join/mod.rs	5965	496	operators	Temporal-join state transitions and record processing are performance-sensitive.	Extract cold planning and checkpoint paths after benchmark coverage; file may not grow.
crates/laminar-db/src/db/mod.rs	5660	1258	database	Root database construction and cross-subsystem ownership still form a broad facade.	Move coherent registry and cluster-construction owners while preserving public paths; file may not grow.
crates/laminar-db/src/checkpoint_coordinator/mod.rs	5597	424	checkpoint	Checkpoint admission, persistence, cleanup, and completion remain one protocol implementation.	Extract attempt lifecycle and cleanup owners under existing tests; file may not grow.
crates/laminar-core/src/shuffle/transport.rs	5212	354	shuffle	Transport authority, delivery accounting, retry, and connection tasks are coupled.	Separate cold connection/control ownership without changing frame hot paths; file may not grow.
crates/laminar-db/src/operator_graph/mod.rs	5103	364	graph	Graph topology, execution, checkpoint state, and routing remain combined.	Extract topology and checkpoint-state owners after graph characterization; file may not grow.
crates/laminar-db/src/rebalance/mod.rs	4371	413	rebalance	Assignment planning and fenced transition publication share ordering invariants.	Extract validation and immutable planning phases; file may not grow.
crates/laminar-db/src/operator/sql_query/mod.rs	3969	446	operators	DataFusion execution and streaming state/output assembly share a hot operator.	Extract cold plan preparation after benchmark coverage; file may not grow.
crates/laminar-server/src/cluster.rs	3964	1497	server	Cluster bootstrap, service wiring, and shutdown ownership remain combined.	Extract service startup phases and bound cleanup owner; file may not grow.
crates/laminar-db/src/coordinated_recovery/mod.rs	3923	434	recovery	Recovery round phases, quorum evidence, and lifecycle fencing share exact ordering.	Split immutable phase preparation from protocol execution; file may not grow.
crates/laminar-db/src/interval_join/mod.rs	3895	613	join-state	Persisted interval state and match/eviction hot paths remain coupled.	Extract serialization and cold validation after benchmarks; file may not grow.
crates/laminar-db/src/operator/interval_join_input/mod.rs	3830	359	operators	Two-sided admission, buffering, and replay ordering form one state machine.	Introduce explicit state owners without changing per-row work; file may not grow.
crates/laminar-db/src/core_window_state/mod.rs	3819	431	window-state	Window mutation, eviction, checkpointing, and accounting share tight invariants.	Extract cold restore/validation after state benchmarks; file may not grow.
crates/laminar-db/src/ddl/mod.rs	3562	262	sql-ddl	DDL validation and catalog mutation still cover several statement families.	Split statement-family orchestration while preserving SQL errors; file may not grow.
crates/laminar-db/src/temporal_join_state/mod.rs	3478	244	join-state	Temporal indexes, retention, and checkpoint compatibility remain combined.	Extract persisted-format validation from hot lookup/update paths; file may not grow.
crates/laminar-db/src/operator/eowc_query/mod.rs	3448	348	operators	End-of-window execution and state/output assembly remain one hot operator.	Extract cold compilation and recovery after benchmark coverage; file may not grow.
crates/laminar-db/src/sql_analysis/mod.rs	2984	160	sql	SQL dependency, changelog, and temporal-shape analysis share one visitor family.	Split independent analysis products without duplicating AST walks; file may not grow.
crates/laminar-db/src/aggregate_state/mod.rs	2592	259	aggregation	Aggregate state mutation, accounting, and checkpoint integration remain coupled.	Continue extracting cold compile/restore concepts; file may not grow.
crates/laminar-db/src/sink_task/mod.rs	2235	150	connectors	Sink actor lifecycle, epoch gates, draining, and error publication share task ownership.	Extract epoch-gate state and shutdown cleanup owner; file may not grow.
crates/laminar-server/src/http.rs	2148	176	server	HTTP routing and endpoint orchestration remain in one interface module.	Group endpoints by supported API domain without framework churn; file may not grow.
crates/laminar-server/src/pgwire.rs	1995	172	server	PgWire session, SQL dispatch, cancellation, and response mapping remain coupled.	Extract session lifecycle and response encoding owners; file may not grow.
crates/laminar-db/src/pipeline/streaming_coordinator/source_actor.rs	1154	1117	pipeline-runtime	One biased spawned future preserves source authority, barrier, drain, poll, and publication priority.	Move only measured cold shutdown/error paths; the actor file may not grow.
crates/laminar-sql/src/planner/mod.rs	814	88	sql-planner	Cohesive planner facade is just above the review threshold with no oversized function.	Retain as facade until a genuine planner concept emerges; file may not grow.
crates/laminar-connectors/src/nats/source.rs	803	100	connectors	Cohesive source lifecycle is just above the review threshold with bounded functions.	Extract only when another owned concept becomes clear; file may not grow.
